先古,遗物,表格行,对应状态,相对文件,素材原名,素材性质,尺寸,来源页面,原图地址或生成来源,SHA256,对应说明
拉特兰,仙人掌挞,8,AI自制概念图,01_拉特兰/06_仙人掌挞/仙人掌挞_AI概念图.png,仙人掌挞_AI概念图,AI自制概念图_非官方,1254x1254,https://prts.wiki/w/拉特兰#饮食,AI image_gen / 2026-09-25,3666c25b179d5b532e58f15e1cec582551910561e96cdf07f34aff5e5ae66bdc,PRTS 确认拉特兰有仙人掌挞，但本次未找到可确认的官方成品图标。此图按甜点概念生成，配料与外形属于设计演绎。
拉特兰,炫彩光翼,9,改制参考,01_拉特兰/07_炫彩光翼/新约能天使_精英二立绘_光翼参考.png,新约能天使_精英二立绘_光翼参考,角色立绘原图,2560x2560,https://prts.wiki/w/文件:立绘_新约能天使_2.png,https://media.prts.wiki/0/07/立绘_新约能天使_2.png,bc999fd3782e82f67ac5cc2b6d00f80a595798045dde9ac2e4fe209a8e4c06c0,以新约能天使原立绘的几何光翼为主参考；光环仅作发光质感辅助。未将角色立绘冒充独立光翼图标。
拉特兰,炫彩光翼,9,改制参考,01_拉特兰/07_炫彩光翼/光环_萨卡兹肉鸽_指定图标.png,光环_萨卡兹肉鸽_指定图标,游戏原素材,180x167,https://prts.wiki/w/萨卡兹的无终奇语/想象实体图鉴#光环,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_4_relic_fight_17.png,75eb27833ac1c42f8c2d49758b47dd25d999943bc6ea8f389f0032b8f7be0345,以新约能天使原立绘的几何光翼为主参考；光环仅作发光质感辅助。未将角色立绘冒充独立光翼图标。
拉特兰,CONFESS-47,10,同名原素材,01_拉特兰/08_CONFESS-47/CONFESS-47_立绘.png,CONFESS-47_立绘,角色立绘原图,2048x2048,https://prts.wiki/w/文件:立绘_CONFESS-47_1.png,https://media.prts.wiki/d/d0/立绘_CONFESS-47_1.png,97a70ac7058de74861a63a26388b87d033c04be57f2be546b3c106555648e3dc,CONFESS-47 的真实告解车立绘；最终遗物小图仍需裁切或重绘，非普通机械人。
拉特兰,万国信标,11,改制参考,01_拉特兰/09_万国信标/万国峰会_蚀刻章.png,万国峰会_蚀刻章,游戏原素材,160x180,https://prts.wiki/w/光荣之路/存档#“万国峰会”,https://media.prts.wiki/8/8e/蚀刻章_“万国峰会”.png,f19d0292779b8aac9eff0d52b989d907c952e64c7703d8046b244d0588367783,万国峰会蚀刻章、拉特兰街景和标志提供主题参考。未找到同名信标成品；后续需设计能清楚识别为信标的主体。
拉特兰,万国信标,11,改制参考,01_拉特兰/09_万国信标/拉特兰_街景.png,拉特兰_街景,剧情CG原图,1024x576,https://prts.wiki/w/拉特兰,https://media.prts.wiki/c/c5/Avg_bg_26_g9_laterano_street.png,c3bbdbec6ce988dbb6e5f418f7f3c78f01eb85e87699af41ac514fe918ae2cf5,万国峰会蚀刻章、拉特兰街景和标志提供主题参考。未找到同名信标成品；后续需设计能清楚识别为信标的主体。
拉特兰,万国信标,11,改制参考,01_拉特兰/09_万国信标/拉特兰_标志.png,拉特兰_标志,游戏原素材,510x510,https://prts.wiki/w/拉特兰,https://media.prts.wiki/e/e9/Logo_拉特兰.png,69749d237d798e2225753852252c6fcbaf8f7420b994e090fbaee06c19da24f0,万国峰会蚀刻章、拉特兰街景和标志提供主题参考。未找到同名信标成品；后续需设计能清楚识别为信标的主体。
拉特兰,律法,12,表格指定图标,01_拉特兰/10_律法/光环_萨卡兹肉鸽_指定图标.png,光环_萨卡兹肉鸽_指定图标,游戏原素材,180x167,https://prts.wiki/w/萨卡兹的无终奇语/想象实体图鉴#光环,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_4_relic_fight_17.png,75eb27833ac1c42f8c2d49758b47dd25d999943bc6ea8f389f0032b8f7be0345,严格使用表格备注指定的萨卡兹肉鸽藏品光环。
大帝,企鹅物流工牌,16,改制参考,02_大帝/11_企鹅物流工牌/企鹅物流_标志.png,企鹅物流_标志,游戏原素材,510x510,https://prts.wiki/w/泰拉大典:组织/企鹅物流,https://media.prts.wiki/2/2b/Logo_企鹅物流.png,62f86f1432835cf94450639c800cfa24f93c5733b8412ffd0b653f6b063a7a30,企鹅物流官方标志与游戏室管理员权限卡提供组合参考，不是现成员工工牌。需替换 GAME ROOM 等文字，重新设计工牌布局。
大帝,企鹅物流工牌,16,改制参考,02_大帝/11_企鹅物流工牌/游戏室管理员权限卡_卡片参考.png,游戏室管理员权限卡_卡片参考,游戏原素材,180x151,https://prts.wiki/w/萨卡兹的无终奇语/想象实体图鉴,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_4_relic_legacy_42.png,373b9fd275a97c9299b8a23d462157d3ef6fbbab971b14a1dc1a2a1a39c732bb,企鹅物流官方标志与游戏室管理员权限卡提供组合参考，不是现成员工工牌。需替换 GAME ROOM 等文字，重新设计工牌布局。
大帝,一些陈酿,17,改制参考,02_大帝/12_一些陈酿/生命之水_酒瓶参考.png,生命之水_酒瓶参考,游戏原素材,135x171,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_q20.png,c4ebf38b180cd6fc15834da0fc3be8f34c595f8f9330022eaf3b28a923d5caee,三瓶均为已有藏品原图，只提供酒瓶外形；不冒称乌萨斯白鲸、高卢霞多丽/干白或大炎汾酒的官方图标。
大帝,一些陈酿,17,改制参考,02_大帝/12_一些陈酿/皇家利口酒_酒瓶参考.png,皇家利口酒_酒瓶参考,游戏原素材,116x172,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_q21.png,b90e48bd63d2336e58f05976825359dd5f0548fc63da0bcd795a29caf7877415,三瓶均为已有藏品原图，只提供酒瓶外形；不冒称乌萨斯白鲸、高卢霞多丽/干白或大炎汾酒的官方图标。
大帝,一些陈酿,17,改制参考,02_大帝/12_一些陈酿/摩根队长佳酿_酒瓶参考.png,摩根队长佳酿_酒瓶参考,游戏原素材,129x168,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_q19.png,273e31975b2ed7057ff54935dc3a8e4029048279e7c0d89ee69aa5bb94f66317,三瓶均为已有藏品原图，只提供酒瓶外形；不冒称乌萨斯白鲸、高卢霞多丽/干白或大炎汾酒的官方图标。
大帝,黑卡,18,改制参考,02_大帝/13_黑卡/游戏室管理员权限卡_卡片参考.png,游戏室管理员权限卡_卡片参考,游戏原素材,180x151,https://prts.wiki/w/萨卡兹的无终奇语/想象实体图鉴,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_4_relic_legacy_42.png,373b9fd275a97c9299b8a23d462157d3ef6fbbab971b14a1dc1a2a1a39c732bb,游戏室管理员权限卡可作卡片轮廓参考；尚需重新设计黑色贵宾卡的配色和细节，不是已确认的大帝黑卡。
大帝,母带,19,改制参考,02_大帝/14_母带/精神治疗录像带_磁带参考.png,精神治疗录像带_磁带参考,游戏原素材,168x165,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_n08.png,514215845a99c2f8d45eb4d9097ea2c753cea6e96b6f9a40a7441f37fe9bc5e4,磁带外形素材；原物为精神治疗录像带，并非大帝的音乐母带。可用于重绘磁带母带，若要开盘式母带则需另画。
大帝,不义之财,20,图标候选,02_大帝/15_不义之财/爱丽舍钱袋_钱袋参考.png,爱丽舍钱袋_钱袋参考,游戏原素材,176x156,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_q11.png,ef466dc8b68f3170916d64c06cb1b6a5d6550dc11d9af16049d4ab85b1731966,爱丽舍钱袋提供装钱袋的现成图标；没有证据表明与大帝剧情存在直接联系。
大帝,公司的面包车,21,AI概念图及参考,02_大帝/16_公司的面包车/公司的面包车_AI概念图_非官方车型.png,公司的面包车_AI概念图_非官方车型,AI自制概念图_非官方,1254x1254,https://prts.wiki/w/泰拉大典:组织/企鹅物流,AI image_gen / 2026-09-25,99752cd3acc783f87a657996bf707ac931708b02711fa81129edbe8f59da742a,新增透明底企鹅物流面包车概念图，以官方标志为参考生成；车型为原创设计，标志经生成重绘，不是官方车型或精确商标矢量稿。另附第三方同人运输车场景（Pixiv ID 7661612），仅作涂装与气氛参考，未取得其再发布授权。
大帝,公司的面包车,21,AI概念图及参考,02_大帝/16_公司的面包车/企鹅物流运输车_同人构图参考.jpg,企鹅物流运输车_同人构图参考,第三方同人参考_非官方_未取得再发布授权,2241x1080,https://www.zerochan.net/2573746,https://static.zerochan.net/Arknights.full.2573746.jpg,b7f5a8b124f9335ee84e7f6257f34e46ec4409dfce53a6189e3cffaf94031337,新增透明底企鹅物流面包车概念图，以官方标志为参考生成；车型为原创设计，标志经生成重绘，不是官方车型或精确商标矢量稿。另附第三方同人运输车场景（Pixiv ID 7661612），仅作涂装与气氛参考，未取得其再发布授权。
大帝,公司的面包车,21,AI概念图及参考,02_大帝/16_公司的面包车/企鹅物流_标志.png,企鹅物流_标志,游戏原素材,510x510,https://prts.wiki/w/泰拉大典:组织/企鹅物流,https://media.prts.wiki/2/2b/Logo_企鹅物流.png,62f86f1432835cf94450639c800cfa24f93c5733b8412ffd0b653f6b063a7a30,新增透明底企鹅物流面包车概念图，以官方标志为参考生成；车型为原创设计，标志经生成重绘，不是官方车型或精确商标矢量稿。另附第三方同人运输车场景（Pixiv ID 7661612），仅作涂装与气氛参考，未取得其再发布授权。
大帝,退回的包裹,22,图标候选,02_大帝/17_退回的包裹/待运货物_企鹅物流家具.png,待运货物_企鹅物流家具,游戏原素材,226x169,https://prts.wiki/w/待运货物,https://torappu.prts.wiki/assets/furniture/furni_penguin_boxes_01.png,025f153383bbc062f4d4f9c21a9d1157a1518f790cf1aa74e087dabc9750a30d,企鹅物流安全屋的待运货物原图，主题匹配。它没有退件标识，后续应补充退回封条或戳记。
大帝,退回的包裹,22,图标候选,02_大帝/17_退回的包裹/企鹅物流_标志.png,企鹅物流_标志,游戏原素材,510x510,https://prts.wiki/w/泰拉大典:组织/企鹅物流,https://media.prts.wiki/2/2b/Logo_企鹅物流.png,62f86f1432835cf94450639c800cfa24f93c5733b8412ffd0b653f6b063a7a30,企鹅物流安全屋的待运货物原图，主题匹配。它没有退件标识，后续应补充退回封条或戳记。
大帝,打碟机,23,改制参考,02_大帝/18_打碟机/极限混音设备_打碟台.png,极限混音设备_打碟台,游戏原素材,226x169,https://prts.wiki/w/“极限”混音设备,https://torappu.prts.wiki/assets/furniture/furni_obsidianFestival_DJBooth_01.png,964ce4d3c37b79e82eeed36e424e67f7b3df77708e56bc47c7df8f66ed3619bd,首选极限混音设备：属于打碟混音家具，但原图含完整灯效、音箱及背景，需提取或重绘台面。旧式唱片机只是企鹅物流相关备用参考，不等同于 DJ 台。
大帝,打碟机,23,改制参考,02_大帝/18_打碟机/旧式唱片机_企鹅物流家具.png,旧式唱片机_企鹅物流家具,游戏原素材,226x169,https://prts.wiki/w/旧式唱片机,https://torappu.prts.wiki/assets/furniture/furni_penguin_recordPlayer_01.png,2e0751149afe8bcc8569b89eb2bf3a725e0f63e6afb333e68213252756c15791,首选极限混音设备：属于打碟混音家具，但原图含完整灯效、音箱及背景，需提取或重绘台面。旧式唱片机只是企鹅物流相关备用参考，不等同于 DJ 台。
大帝,珍藏的唱片,24,用户指定图标,02_大帝/19_珍藏的唱片/黑夜呢喃_傀影肉鸽_指定图标.png,黑夜呢喃_傀影肉鸽_指定图标,游戏原素材,156x127,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒#“黑夜呢喃”,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_a09.png,427b7cf78fc8698b4948a11dc29c63051a64de4be76884a0fe194206f3ed7a16,首选傀影肉鸽黑夜呢喃；另外保留萨卡兹肉鸽同名图标作对照。未根据编号猜图，已按 PRTS 图片 alt 名称核对。
大帝,珍藏的唱片,24,用户指定图标,02_大帝/19_珍藏的唱片/黑夜呢喃_萨卡兹肉鸽_同名版本.png,黑夜呢喃_萨卡兹肉鸽_同名版本,游戏原素材,156x127,https://prts.wiki/w/萨卡兹的无终奇语/想象实体图鉴#“黑夜呢喃”,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_4_relic_legacy_66.png,ee324682cc654ff2820810f449787ed33460c68380cd6946817df01c9d3c3cb2,首选傀影肉鸽黑夜呢喃；另外保留萨卡兹肉鸽同名图标作对照。未根据编号猜图，已按 PRTS 图片 alt 名称核对。
大帝,老板的名片,25,改制参考,02_大帝/20_老板的名片/大帝_企鹅物流老板_剧情立绘.png,大帝_企鹅物流老板_剧情立绘,角色立绘原图,1024x1024,https://prts.wiki/w/剧情角色一览,https://media.prts.wiki/7/75/Avg_char_105_emper.png,38e533d5f3d810c6b8d0c742b5efd2f419bc88ec859cd3460ef22233b9a4dd5e,老板明确为企鹅物流大帝。提供大帝原立绘、空白名片与组织标志；名片成品需要后续合成或重绘。
大帝,老板的名片,25,改制参考,02_大帝/20_老板的名片/空白名片_藏品原图.png,空白名片_藏品原图,游戏原素材,180x165,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_a45.png,8bbd1a7aafaa8e48952f08929227de93737ab92a9f34e736a89a1e6db4d451a3,老板明确为企鹅物流大帝。提供大帝原立绘、空白名片与组织标志；名片成品需要后续合成或重绘。
大帝,老板的名片,25,改制参考,02_大帝/20_老板的名片/企鹅物流_标志.png,企鹅物流_标志,游戏原素材,510x510,https://prts.wiki/w/泰拉大典:组织/企鹅物流,https://media.prts.wiki/2/2b/Logo_企鹅物流.png,62f86f1432835cf94450639c800cfa24f93c5733b8412ffd0b653f6b063a7a30,老板明确为企鹅物流大帝。提供大帝原立绘、空白名片与组织标志；名片成品需要后续合成或重绘。
