序号,卡牌名称,card name,类型,颜色,稀有度,费用,卡牌描述,备注,,,,,,,,,,,,,,,,,
59,激光炮？,Laser Cannon?,攻击,红色,稀有,2,对所有敌人造成18（26）点伤害，本次攻击可以消耗所有弹药。,,,,,,,,,,,,,,,,,,
60,派对时间！,Party Time!,攻击,红色,稀有,3,造成2（3）点伤害15次。在你的手牌中加入一张睡眠不佳,,,,,,,,,,,,,,,,,,
61,使命必达！,Guaranteed Success!,攻击,红色,稀有,3,（耗能-1）造成5点伤害5次。选择1个快递遗物立即重新生效。消耗,,,,,,,,,,,,,,,,,,
62,甜品时间！,Dessert Time!,技能,红色,稀有,0,在你的手牌中加入2（3）张圣城冰淇淋。消耗,圣城冰淇淋详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
63,失乐园,Paradise Lost,技能,红色,稀有,0,获得2（3）点能量。抽2（3）张牌。在弃牌堆中加入一张腐朽。消耗,,,,,,,,,,,,,,,,,,
64,瞄准弱点！,Target the Weak Spot!,技能,红色,稀有,1,如果一名敌人有负面状态，获得2（3）火力,,,,,,,,,,,,,,,,,,
65,加急！,Expedite!,技能,红色,稀有,1,所有快递遗物的快递层数减少1（2）。消耗,,,,,,,,,,,,,,,,,,
66,爆弹,Explosive Ammo,技能,红色,稀有,1,获得4弹药。下次攻击若消耗弹药，则对所有敌人额外造成一次其总伤害50%的伤害。消耗（升级后去除）,,,,,,,,,,,,,,,,,,
67,过载模式,Overloading Mode,技能,红色,稀有,1,虚无（升级后去除）。进入过载。本回合结束时，保留一半的弹药。消耗,,,,,,,,,,,,,,,,,,
68,优秀毕业生,Outstanding Graduate,技能,红色,稀有,1,使所有敌人的干扰层数翻倍（三倍），给予所有敌人1层干扰。消耗,,,,,,,,,,,,,,,,,,
69,愿主同在,May the Lord Be with Us,技能,红色,稀有,1,获得中转1（2）主-主机。消耗,,,,,,,,,,,,,,,,,,
70,圣城怜悯,Holy City Mercy,技能,红色,稀有,3,（耗能-1）获得8点格挡。为手牌中所有非天使牌添加天使,,,,,,,,,,,,,,,,,,
71,开火成瘾症,Shootoholic,技能,红色,稀有,5,（保留。）从抽牌堆和弃牌堆中随机打出5张攻击牌。消耗至多5弹药，为所有攻击牌提供加成。这些攻击牌在本次攻击中不再消耗弹药。,,,,,,,,,,,,,,,,,,
72,拥抱新生,Embrace New Life,技能,红色,稀有,X,将X（+1）张随机衍生天使牌加入你的抽牌堆。这些天使牌获得附魔：迅捷1,,,,,,,,,,,,,,,,,,
73,借贷,Loan,能力,红色,稀有,0,获得45（60）金币。将一张债务加入你的抽牌堆,,,,,,,,,,,,,,,,,,
74,物流外包,Logistics Outsourcing,能力,红色,稀有,1,每有10（7）个遗物，在你的回合开始时额外抽1张牌。,,,,,,,,,,,,,,,,,,
75,守护铳, Patron Firearm,能力,红色,稀有,1,每消耗1弹药，获得2（3）格挡,,,,,,,,,,,,,,,,,,
76,圣城感召,Holy City Calling,能力,红色,稀有,2,（耗能-1）你在一回合内打出不少于3张天使牌时，在本回合获得翱翔,,,,,,,,,,,,,,,,,,
77,双发套件,Double-Shot Kit,能力,红色,稀有,2,（耗能-1）获得6弹药，弹药增加的伤害+100%,,,,,,,,,,,,,,,,,,
78,帕格尼尼定制,Paganini Custom,能力,红色,稀有,2,弹药增加的伤害提升50%（75%），回合开始时获得2(3)弹药。,,,,,,,,,,,,,,,,,,
79,货如轮转,Cargo in Motion,能力,红色,稀有,3,在本场战斗中，你每快递1个 非中转（升级后去除）遗物，获得1个随机遗物。,,,,,,,,,,,,,,,,,,
80,共感形态,Empathy Form,能力,红色,稀有,3,虚无。（升级后去除）在回合开始时，给1张手牌添加天使。每打出1张天使牌，抽1张牌。,已经有天使的牌重新添加天使,,,,,,,,,,,,,,,,,
81,德克萨斯,Texas,攻击,无色,衍生,0,不消耗弹药。对所有敌人造成2点伤害2次并给予1（2）层虚弱。消耗,物流卡,,,,,,,,,,,,,,,,,
82,大帝,Emperor  ,技能,无色,衍生,0,从3张随机(其他全部)物流卡中选择1张加入手牌，消耗,物流卡，不会再出现大帝，权重比其他物流卡低一半,,,,,,,,,,,,,,,,,
83,能天使,Exusiai,技能,无色,衍生,0,获得3（4）弹药，回复5点生命，消耗,物流卡,,,,,,,,,,,,,,,,,
84,可颂,Croissant,技能,无色,衍生,0,获得9（13）点格挡，获得15金币，消耗,物流卡,,,,,,,,,,,,,,,,,
85,空,Sora,技能,无色,衍生,0,获得1点力量，给予所有敌人2（3）层虚弱，消耗,物流卡,,,,,,,,,,,,,,,,,
86,伊斯,Ylth,技能,无色,衍生,0,升级你的手牌（和弃牌堆中的牌），获得5点格挡，消耗,物流卡,,,,,,,,,,,,,,,,,
87,拜松,Bison,技能,无色,衍生,0,获得12（18）点格挡，消耗,物流卡,,,,,,,,,,,,,,,,,
88,莫斯提马,Mostima,技能,无色,衍生,1,（耗能-1）在本回合结束后，额外获得一回合。结束你的回合。消耗,物流卡，权重比其他物流卡低一半,,,,,,,,,,,,,,,,,
89,圣城指引,Holy City Guidance,技能,无色,衍生,0,天使。抽2（3）张牌。消耗,,,,,,,,,,,,,,,,,,
90,圣城净化,Holy City Purge,技能,无色,衍生,0,天使。消耗1（最多2）张手牌。获得3（4）弹药。消耗,,,,,,,,,,,,,,,,,,
91,圣城冰淇淋,Holy City Ice Cream,技能,无色,衍生,0,天使。获得1（2）E。消耗,,,,,,,,,,,,,,,,,,
92,茫然,Bewildered,诅咒,其他,诅咒,1,悔恨。消耗。,悔恨：在你的回合结束时，如果这张牌在你的手牌中，失去相当于手牌数量的生命。,,,,,,,,,,,,,,,,,
93,歧途,Wayward,诅咒,其他,诅咒,-1,保留。无法被打出。被消耗或变化时使你减少1力量与敏捷,,,,,,,,,,,,,,,,,,
93,弹幕嗨破天！,Barrage sky-shattering!,攻击,红色,先古,1,造成5点伤害3次。弹药提供的伤害加成提升至3（5）倍,替换冲锋模式,,,,,,,,,,,,,,,,,
94,圣徒行记,The Saints' Travels,能力,红色,先古,2,（耗能-1）获得1火力。这张牌在本局游戏中的火力值永久性增加1。,,,,,,,,,,,,,,,,,,
95,卡拉OK,Karaoke,攻击,红色,多人罕见,0,造成4(7)点伤害，抽1张牌，在一名随机盟友的弃牌堆中加入一张此牌的复制品,,,,,,,,,,,,,,,,,,
96,开箱,Unboxing,技能,红色,多人罕见,1,所有玩家获得一个中转1(2)随机遗物。消耗,,,,,,,,,,,,,,,,,,
97,天使的祝福,Angel's Blessings,技能,红色,多人罕见,2,（耗能-1）将2张随机天使牌加入所有玩家的手牌。,,,,,,,,,,,,,,,,,,
98,炎国人能飞,Yanese Can Fly,技能,红色,多人稀有,2,所有玩家本回合获得翱翔。消耗（升级后去除）,,,,,,,,,,,,,,,,,,
99,共情,Compassion,能力,红色,多人稀有,1,所有玩家在回合开始时，随机1（2）张手牌获得天使，且带有天使的能力牌可以对队友使用,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
