序号,卡牌名称,card name,类型,颜色,稀有度,费用,卡牌描述,备注,,,,,,,,,,,,,,,,,
28,愿主同在,May the Lord Be with Us,攻击,红色,罕见,2,造成12（17）点伤害。在你的手牌中加入一张圣城永恒,圣城永恒详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
29,改装不当,Botched Modification,攻击,红色,罕见,2,对所有敌人造成12（14）点伤害2次。在弃牌堆中加入一张笨拙,,,,,,,,,,,,,,,,,,
30,前路何在？,What Lies Ahead?,攻击,红色,罕见,2,造成10点伤害3（4）次。在你的手牌中加入一张疑虑,,,,,,,,,,,,,,,,,,
31,勿忘我,Forget-Me-Not,攻击,红色,罕见,3,（保留。）造成1点伤害，至多消耗X弹药，获得3X弹药，消耗,,,,,,,,,,,,,,,,,,
32,以铳起誓,Swear on This Gun,攻击,红色,罕见,3,造成36（42）点伤害。从抽牌堆中随机3张牌选择一张加入手牌并获得3快递,,,,,,,,,,,,,,,,,,
33,扫射模式,Shooting Mode,攻击,红色,罕见,4,造成13（16）点伤害4次,,,,,,,,,,,,,,,,,,
34,叉烧苹果派！,Apple pie with char siu!,技能,红色,罕见,0,获得3（5）点能量。在本回合随机化你手牌中所有牌的耗能。本回合无法再抽牌,,,,,,,,,,,,,,,,,,
35,包裹,Package,技能,红色,罕见,0,快递2，抽1张牌，每当这张牌快递层数增加或减少时，每层使你获得4（6）点格挡,,,,,,,,,,,,,,,,,,
36,混乱狂飙,Chaotic Rampage,技能,红色,罕见,0,抽3（4）张牌。随机化你手牌中所有牌的耗能,,,,,,,,,,,,,,,,,,
37,干扰,Disruption,技能,红色,罕见,0,（保留）本回合使敌人特殊能力失效，造成的伤害减少10%，消耗,只对一个敌人生效,,,,,,,,,,,,,,,,,
38,企鹅特快,Penguin Express,技能,红色,罕见,1,（耗能-1）使1张手牌获得快递2,,,,,,,,,,,,,,,,,,
39,企鹅标快,Penguin Standard,技能,红色,罕见,1,抽2（3）张牌，使至多2张手牌获得快递3,,,,,,,,,,,,,,,,,,
40,企鹅跨境,Penguin International,技能,红色,罕见,1,将你抽牌堆中至多2（3）张牌放入手牌，使其耗能增加3E并获得快递4,,,,,,,,,,,,,,,,,,
41,闪光弹,Flashbang,技能,红色,罕见,1,给予所有敌人1层虚弱，2(3)回合内受到虚弱效果翻倍,和摧残叠加，即最多伤害-75%,,,,,,,,,,,,,,,,,
42,圣城怜悯,Holy City Mercy,技能,红色,罕见,1,获得7（10）点格挡。将手牌中的所有诅咒牌转化为随机天使牌,,,,,,,,,,,,,,,,,,
43,大合照！,Group Photo!,技能,红色,罕见,1,将一张随机（升级后的）物流卡加入你的手牌，消耗,,,,,,,,,,,,,,,,,,
44,圣城之拥,Holy City's Embrace,技能,红色,罕见,2,获得12（18）点格挡，在你的手牌中加入一张圣城庇护,圣城庇护详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
45,企鹅大件,Penguin Freight,技能,红色,罕见,2,所有手牌获得快递3，消耗,,,,,,,,,,,,,,,,,,
46,压满弹匣！,Load 'Em Up!,技能,红色,罕见,X,获得3（4）弹药X次,,,,,,,,,,,,,,,,,,
47,升华,Ascension,能力,红色,罕见,1,（耗能-1）本场战斗中的所有天使牌获得升级,,,,,,,,,,,,,,,,,,
48,物流安保,Secure Delivery,能力,红色,罕见,1,每次你的卡牌快递层数增加或减少时，每层使你获得3(4)点格挡,,,,,,,,,,,,,,,,,,
49,加急！,Expedite!,能力,红色,罕见,1,（耗能-1）快递层数减为1时就可以自动打出,,,,,,,,,,,,,,,,,,
50,告解,Confession,能力,红色,罕见,1,（固有。）每当你抽到或消耗1张诅咒或天使牌时，额外抽1张牌,,,,,,,,,,,,,,,,,,
51,天赋,Talent,能力,红色,罕见,1,获得2(3)点火力,火力：弹药额外增加X点伤害,,,,,,,,,,,,,,,,,
52,易燃易爆,Flammable & Explosive,能力,红色,罕见,1,快递牌被打出时对所有敌人造成5（7）点伤害，获得1弹药,,,,,,,,,,,,,,,,,,
53,圣城感召,Holy City Calling,能力,红色,罕见,1,（耗能-1）当你打出一张天使牌时，获得1E,,,,,,,,,,,,,,,,,,
54,福音摇滚！,Rock n' gospel!,能力,红色,罕见,1,在回合开始时，给1（2）张手牌添加天使。获得混乱,,,,,,,,,,,,,,,,,,
55,天使的祝福,Angel's Blessings,能力,红色,罕见,2,（保留）在你的回合开始时，将一张随机天使牌加入你的手牌,,,,,,,,,,,,,,,,,,
56,正宗天意！,"Divine judgment, traditional!",攻击,红色,稀有,0,只有在你的手牌为满时可以打出。造成8（10）点伤害5次。,,,,,,,,,,,,,,,,,,
57,圣城威光,Holy City Radiance,攻击,红色,稀有,1,造成6（9）点伤害。消耗牌堆中每有一张天使牌，额外造成1次伤害。,,,,,,,,,,,,,,,,,,
58,激光炮？,Laser Cannon?,攻击,红色,稀有,2,对所有敌人造成20（28）点伤害，最多消耗5弹药,,,,,,,,,,,,,,,,,,
59,使命必达！,Guaranteed Success!,攻击,红色,稀有,3,（保留。）造成5点伤害5次。将手牌中的一张快递牌直接打出。消耗,,,,,,,,,,,,,,,,,,
60,派对时间！,Party Time!,攻击,红色,稀有,3,随机对敌人造成1点伤害25（30）次。在你的手牌中加入一张睡眠不佳,,,,,,,,,,,,,,,,,,
61,全弹发射！,Full Salvo!,攻击,红色,稀有,3,造成6（9）点伤害3次。本次攻击可以消耗所有弹药。,,,,,,,,,,,,,,,,,,
62,过载模式,Overloading Mode,攻击,红色,稀有,5,造成11（14）点伤害5次。至多消耗5弹药,,,,,,,,,,,,,,,,,,
63,甜品时间！,Dessert Time!,技能,红色,稀有,0,在你的手牌中加入3（4）张圣城冰淇淋。消耗,圣城冰淇淋详情见衍生牌（编号81以后），对标超临界态,,,,,,,,,,,,,,,,,
64,坚定之心,Steadfast Heart,技能,红色,稀有,0,获得2（4）弹药。将一张圣城永恒加入你的手牌,圣城永恒详情见衍生牌（编号81以后）,,,,,,,,,,,,,,,,,
65,失乐园,Paradise Lost,技能,红色,稀有,0,获得2（3）点能量。抽2（3）张牌。在本回合获得混乱。在弃牌堆中加入一张腐朽。消耗,,,,,,,,,,,,,,,,,,
66,瞄准弱点！,Target the Weak Spot!,技能,红色,稀有,0,给予所有敌人1（2）层虚弱和3（4）层易伤。消耗,,,,,,,,,,,,,,,,,,
67,优秀毕业生,Outstanding Graduate,技能,红色,稀有,1,本回合使所有敌人的特殊能力失效，造成的伤害减少10%。消耗（升级后移除）,,,,,,,,,,,,,,,,,,
68,开火成瘾症,Shootoholic,技能,红色,稀有,5,从抽牌堆和弃牌堆中随机打出5张攻击牌。消耗至多5弹药，为所有攻击牌提供加成。这些攻击牌在本次攻击中不再消耗弹药。,,,,,,,,,,,,,,,,,,
69,天使之心,Angel's Heart,技能,红色,稀有,6,在你的手牌和抽牌堆所有天使牌各一张。本回合（在两个回合内）所有天使牌都可以免费打出。消耗,,,,,,,,,,,,,,,,,,
70,拥抱新生,Embrace New Life,技能,红色,稀有,X,将X（+1）张随机天使牌加入你的抽牌堆。这些天使牌获得附魔：迅捷1,,,,,,,,,,,,,,,,,,
71,借贷,Loan,能力,红色,稀有,0,获得45（60）金币。将一张债务加入你的弃牌堆,,,,,,,,,,,,,,,,,,
72,童年,Childhood,能力,红色,稀有,0,耗能不小于3的卡牌耗能-1。获得3（2）层缩小,在混乱效果后结算。卡面我要小小乐,,,,,,,,,,,,,,,,,
73,守护铳, Patron Firearm,能力,红色,稀有,1,每消耗4（3）弹药，抽1张牌,,,,,,,,,,,,,,,,,,
74,爆弹,Explosive Ammo,能力,红色,稀有,1,获得4（6）弹药，消耗弹药增加的伤害会额外对所有敌人造成1次伤害,,,,,,,,,,,,,,,,,,
75,“主”的宽恕,The Lord's Forgiveness,能力,红色,稀有,1,（固有）你可以花费1E 打出原本不能被打出的诅咒牌并消耗。,,,,,,,,,,,,,,,,,,
76,显圣吊坠,Necklace of the Presence,能力,红色,稀有,1,你每消耗1弹药，获得4（5）格挡,,,,,,,,,,,,,,,,,,
77,物流外包,Logistics Outsourcing,能力,红色,稀有,2,（耗能-1）在你的回合开始时，抽1张牌，使最多1张手牌获得快递3。,,,,,,,,,,,,,,,,,,
78,共感形态,Empathy Form,能力,红色,稀有,3,虚无。（升级后去除）本场战斗中所有卡牌获得天使。天使牌被消耗时额外打出一次。,不对能力牌生效，只有能进消耗堆才会重复打出,,,,,,,,,,,,,,,,,
79,冰镇甜品！,Frozen Treat!,能力,红色,稀有,3,快递3（2），多余的能量可以留到下一回合。,,,,,,,,,,,,,,,,,,
80,帕格尼尼定制,Paganini Custom,能力,红色,稀有,4,快递4，获得2火力，回合开始时获得2(3)弹药。,,,,,,,,,,,,,,,,,,
81,大帝,Emperor  ,技能,无色,衍生,0,从3张随机(其他全部)物流卡中选择1张加入手牌，消耗,物流卡，不会再出现大帝，权重比其他物流卡低一半,,,,,,,,,,,,,,,,,
82,德克萨斯,Texas,攻击,无色,衍生,0,不消耗弹药。对所有敌人造成2点伤害2次并给予1（2）层虚弱。消耗,物流卡,,,,,,,,,,,,,,,,,
83,能天使,Exusiai,技能,无色,衍生,0,获得3（4）弹药，回复2点生命，消耗,物流卡,,,,,,,,,,,,,,,,,
84,可颂,Croissant,技能,无色,衍生,0,获得6（9）点格挡，获得10金币，消耗,物流卡,,,,,,,,,,,,,,,,,
85,莫斯提马,Mostima,技能,无色,衍生,1,（耗能-1）在本回合结束后，额外获得一回合。结束你的回合。消耗,物流卡，权重比其他物流卡低一半,,,,,,,,,,,,,,,,,
86,空,Sora,技能,无色,衍生,0,获得1点力量，给予所有敌人2（3）层虚弱，消耗,物流卡,,,,,,,,,,,,,,,,,
87,伊斯,Ylth,技能,无色,衍生,0,升级你的手牌（和弃牌堆中的牌），获得5点格挡，消耗,物流卡,,,,,,,,,,,,,,,,,
88,拜松,Bison,技能,无色,衍生,0,获得9（12）点格挡，消耗,物流卡,,,,,,,,,,,,,,,,,
89,圣城指引,Holy City Guidance,技能,无色,衍生,0,天使。抽3（4）张牌。消耗,天使：本场战斗中，这张牌的耗能不会增加,,,,,,,,,,,,,,,,,
90,圣城净化,Holy City Purge,技能,无色,衍生,0,天使。消耗1（最多2）张手牌。获得3（4）弹药。消耗,,,,,,,,,,,,,,,,,,
91,圣城庇护,Holy City Protection,技能,无色,衍生,1,天使。获得15（20）点格挡。在你的下个回合开始前，你的生命值不会低于1。消耗,,,,,,,,,,,,,,,,,,
92,圣城永恒,Holy City Eternal,技能,无色,衍生,1,天使。保留。保留你的手牌1（2）个回合。在下个回合额外获得1（2）点费用。消耗,,,,,,,,,,,,,,,,,,
93,圣城冰淇淋,Holy City Ice Cream,技能,无色,衍生,0,天使。保留。获得1（2）E。消耗,,,,,,,,,,,,,,,,,,
94,弹幕嗨破天！,Barrage sky-shattering!,攻击,红色,先古,1,造成5点伤害3次。弹药提供的伤害加成提升至3（5）倍,替换冲锋模式,,,,,,,,,,,,,,,,,
95,圣徒行记,The Saints' Travels,能力,红色,先古,2,（耗能-1）获得1火力。这张牌在本局游戏中的火力值永久性增加1。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
